District,County,Subcounty,Parish,Pop_Male,Pop_Female,Pop_Ratio,Pop_Total
Abim,Labwor,Abim Town Council,Kalakala,1056,1097,96.3,2153
Abim,Labwor,Abim Town Council,Kiru,1283,1358,94.5,2641
Abim,Labwor,Abim Town Council,Oyaro,1828,1899,96.3,3727
Abim,Labwor,Abim Town Council,Wiawer,4262,4385,97.2,8647
Abim,Labwor,Abim,Aninata,704,872,80.7,1576
Abim,Labwor,Abim,Arembwola,1151,1086,106,2237
Abim,Labwor,Abim,Atunga,2797,2951,94.8,5748
Abim,Labwor,Abim,Kanu,1504,1569,95.9,3073
Abim,Labwor,Alerek,Koya,2196,2354,93.3,4550
Abim,Labwor,Alerek,Kulodwong,1682,1725,97.5,3407
Abim,Labwor,Alerek,Loyoroit,1087,1189,91.4,2276
Abim,Labwor,Alerek,Otumpili,1726,1776,97.2,3502
Abim,Labwor,Alerek,Wilela,1699,1964,86.5,3663
Abim,Labwor,Lotukei,Achangali,1045,1116,93.6,2161
Abim,Labwor,Lotukei,Aridai,1173,1249,93.9,2422
Abim,Labwor,Lotukei,Awach,1065,1150,92.6,2215
Abim,Labwor,Lotukei,Barlyech,1161,1181,98.3,2342
Abim,Labwor,Lotukei,Gangming,2130,2273,93.7,4403
Abim,Labwor,Lotukei,Gotapwou,1256,1280,98.1,2536
Abim,Labwor,Lotukei,Oporoth,1926,1955,98.5,3881
Abim,Labwor,Lotukei,Orwamuge,1420,1594,89.1,3014
Abim,Labwor,Morulem,Adea,2692,2455,109.7,5147
Abim,Labwor,Morulem,Akwangagwel,644,703,91.6,1347
Abim,Labwor,Morulem,Angolebwal,1986,2184,90.9,4170
Abim,Labwor,Morulem,Aremo,2682,2916,92,5598
Abim,Labwor,Morulem,Katabok East,1539,1726,89.2,3265
Abim,Labwor,Morulem,Katabok West,1519,1833,82.9,3352
Abim,Labwor,Nyakwae,Kobulin,1362,1317,103.4,2679
Abim,Labwor,Nyakwae,Opopongo,2076,2214,93.8,4290
Abim,Labwor,Nyakwae,Oreta,1203,1408,85.4,2611
Abim,Labwor,Nyakwae,Pupu-Kamuya,1064,1060,100.4,2124
Abim,Labwor,Nyakwae,Rogom,1538,1671,92,3209
Adjumani,East Moyo,Adjumani Town Council,Biyaya,5354,5630,95.1,10984
Adjumani,East Moyo,Adjumani Town Council,Central,5758,6225,92.5,11983
Adjumani,East Moyo,Adjumani Town Council,Cesia,5943,6523,91.1,12466
Adjumani,East Moyo,Adropi,Esia,1370,1470,93.2,2840
Adjumani,East Moyo,Adropi,Lajopi,891,913,97.6,1804
Adjumani,East Moyo,Adropi,Obilokongo,974,1092,89.2,2066
Adjumani,East Moyo,Adropi,Openzinzi,1221,964,126.7,2185
Adjumani,East Moyo,Adropi,Palemo,1383,1436,96.3,2819
Adjumani,East Moyo,Arinyapi,Arasi,808,779,103.7,1587
Adjumani,East Moyo,Arinyapi,Elegu,1209,1269,95.3,2478
Adjumani,East Moyo,Arinyapi,Ituju,1390,1391,99.9,2781
Adjumani,East Moyo,Arinyapi,Liri,1496,1629,91.8,3125
Adjumani,East Moyo,Arinyapi,Zinyini,851,846,100.6,1697
Adjumani,East Moyo,Ciforo,Agojo,964,1043,92.4,2007
Adjumani,East Moyo,Ciforo,Loa,1824,1829,99.7,3653
Adjumani,East Moyo,Ciforo,Mugi,1164,1183,98.4,2347
Adjumani,East Moyo,Ciforo,Okangali,1906,1930,98.8,3836
Adjumani,East Moyo,Ciforo,Opejo,1289,1339,96.3,2628
Adjumani,East Moyo,Dzaipi,Adidi,1509,1526,98.9,3035
Adjumani,East Moyo,Dzaipi,Ajugopi,11580,13459,86,25039
Adjumani,East Moyo,Dzaipi,Logoangwa,1652,1618,102.1,3270
Adjumani,East Moyo,Dzaipi,Mgbere,1836,2017,91,3853
Adjumani,East Moyo,Dzaipi,Miniki,3590,4101,87.5,7691
Adjumani,East Moyo,Itirikwa,Baratuku,483,516,93.6,999
Adjumani,East Moyo,Itirikwa,Itirikwa,665,654,101.7,1319
Adjumani,East Moyo,Itirikwa,Kolididi,1070,1157,92.5,2227
Adjumani,East Moyo,Itirikwa,Mungula,3973,4427,89.7,8400
Adjumani,East Moyo,Itirikwa,Odu,1076,1218,88.3,2294
Adjumani,East Moyo,Itirikwa,Zoka,920,936,98.3,1856
Adjumani,East Moyo,Ofua,Bacere,1279,1373,93.2,2652
Adjumani,East Moyo,Ofua,Ilinyi,1398,1544,90.5,2942
Adjumani,East Moyo,Ofua,Ofua Central,1656,1918,86.3,3574
Adjumani,East Moyo,Ofua,Opi,646,656,98.5,1302
Adjumani,East Moyo,Ofua,Subbe,871,913,95.4,1784
Adjumani,East Moyo,Ofua,Tianyu,869,904,96.1,1773
Adjumani,East Moyo,Pacara,Alere,3074,3160,97.3,6234
Adjumani,East Moyo,Pacara,Jihwa,997,1076,92.7,2073
Adjumani,East Moyo,Pacara,Marindi,2198,2333,94.2,4531
Adjumani,East Moyo,Pacara,Omi,916,955,95.9,1871
Adjumani,East Moyo,Pacara,Unna,1180,1281,92.1,2461
Adjumani,East Moyo,Pakele,Boroli,2430,2759,88.1,5189
Adjumani,East Moyo,Pakele,Fuda,1055,1161,90.9,2216
Adjumani,East Moyo,Pakele,Ibbiaworo,412,480,85.8,892
Adjumani,East Moyo,Pakele,Lewa,10893,12666,86,23559
Adjumani,East Moyo,Pakele,Meliaderi,990,950,104.2,1940
Adjumani,East Moyo,Pakele,Melijo,2191,2135,102.6,4326
Adjumani,East Moyo,Pakele,Nyivura,731,759,96.3,1490
Adjumani,East Moyo,Pakele,Pakele Town Board,2775,2856,97.2,5631
Adjumani,East Moyo,Pakele,Pereci,2025,2200,92,4225
Adjumani,East Moyo,Ukusijoni,Ayiri,1887,1909,98.8,3796
Adjumani,East Moyo,Ukusijoni,Gulinya,757,719,105.3,1476
Adjumani,East Moyo,Ukusijoni,Kiraba,731,806,90.7,1537
Adjumani,East Moyo,Ukusijoni,Maaji,1040,1083,96,2123
Adjumani,East Moyo,Ukusijoni,Payaru,1148,1237,92.8,2385
Agago,Agago,Adilang,Kulaka,1573,1567,100.4,3140
Agago,Agago,Adilang,Labwa,1577,1628,96.9,3205
Agago,Agago,Adilang,Lalal,1282,1430,89.7,2712
Agago,Agago,Adilang,Lapyem,1259,1348,93.4,2607
Agago,Agago,Adilang,Ligiligi,1261,1259,100.2,2520
Agago,Agago,Adilang,Ngekidi,1108,1181,93.8,2289
Agago,Agago,Adilang,Orina,1836,1965,93.4,3801
Agago,Agago,Agago Town Council,Agago Central,806,833,96.8,1639
Agago,Agago,Agago Town Council,Ajal,644,760,84.7,1404
Agago,Agago,Agago Town Council,Ngora,973,1051,92.6,2024
Agago,Agago,Agago Town Council,Pampara,446,518,86.1,964
Agago,Agago,Arum,Achol-Pii,1677,1740,96.4,3417
Agago,Agago,Arum,Agelec,1382,1433,96.4,2815
Agago,Agago,Arum,Alela,1102,1114,98.9,2216
Agago,Agago,Arum,Kazikazi,1618,1705,94.9,3323
Agago,Agago,Kalongo Town Council,Akado,1165,1310,88.9,2475
Agago,Agago,Kalongo Town Council,Alupere,1030,1115,92.4,2145
Agago,Agago,Kalongo Town Council,Kubwor,783,813,96.3,1596
Agago,Agago,Kalongo Town Council,Oret,1113,1640,67.9,2753
Agago,Agago,Kalongo Town Council,Town,1288,1337,96.3,2625
Agago,Agago,Kotomol,Apobo,988,1017,97.1,2005
Agago,Agago,Kotomol,Lukee,1260,1299,97,2559
Agago,Agago,Kotomol,Ogong,823,849,96.9,1672
Agago,Agago,Kotomol,Olyelo,869,991,87.7,1860
Agago,Agago,Kotomol,Omatowee,1277,1300,98.2,2577
Agago,Agago,Kotomol,Otek,859,1012,84.9,1871
Agago,Agago,Lamiyo,Ojur,891,1019,87.4,1910
Agago,Agago,Lamiyo,Otaka,1199,1283,93.5,2482
Agago,Agago,Lamiyo,Paicam,1074,1164,92.3,2238
Agago,Agago,Lamiyo,Polcani,918,936,98.1,1854
Agago,Agago,Lapono,Amyel,2007,2115,94.9,4122
Agago,Agago,Lapono,Kaket,2674,2738,97.7,5412
Agago,Agago,Lapono,Lapono Muk,1842,1973,93.4,3815
Agago,Agago,Lapono,Lira-Kato,2652,2979,89,5631
Agago,Agago,Lapono,Ogole,1544,1536,100.5,3080
Agago,Agago,Lira Palwo,Ademi,1915,2062,92.9,3977
Agago,Agago,Lira Palwo,Agengo,1131,1256,90,2387
Agago,Agago,Lira Palwo,Lanyirinyiri,1627,1693,96.1,3320
Agago,Agago,Lira Palwo,Lutome,1147,1290,88.9,2437
Agago,Agago,Lira Palwo,Omongo,2024,2165,93.5,4189
Agago,Agago,Lokole,Kiteny,1023,1131,90.5,2154
Agago,Agago,Lokole,Ladere,951,1032,92.2,1983
Agago,Agago,Lokole,Ngudi,783,769,101.8,1552
Agago,Agago,Lokole,Ngwero,1764,1926,91.6,3690
Agago,Agago,Lokole,Olung,1611,1715,93.9,3326
Agago,Agago,Lokole,Otumpili,1388,1448,95.9,2836
Agago,Agago,Omiya Pacwa,Laita,1790,1940,92.3,3730
Agago,Agago,Omiya Pacwa,Lakwa,1345,1437,93.6,2782
Agago,Agago,Omiya Pacwa,Lojim,1272,1321,96.3,2593
Agago,Agago,Omiya Pacwa,Lomoi,1193,1265,94.3,2458
Agago,Agago,Omot,Atece,1354,1451,93.3,2805
Agago,Agago,Omot,Awondwe,1480,1461,101.3,2941
Agago,Agago,Omot,Latinling,1766,1935,91.3,3701
Agago,Agago,Omot,Tenge,1911,2041,93.6,3952
Agago,Agago,Paimol,Mutto,2558,2603,98.3,5161
Agago,Agago,Paimol,Ngora,2611,2747,95,5358
Agago,Agago,Paimol,Pacabol,2653,2636,100.6,5289
Agago,Agago,Paimol,Taa,2568,2643,97.2,5211
Agago,Agago,Parabongo,Pabala,1859,2035,91.4,3894
Agago,Agago,Parabongo,Pacer,1849,1987,93.1,3836
Agago,Agago,Parabongo,Pakor,1274,1304,97.7,2578
Agago,Agago,Parabongo,Parumu,552,534,103.4,1086
Agago,Agago,Patongo Town Council,Akomo,675,678,99.6,1353
Agago,Agago,Patongo Town Council,Forest,887,986,90,1873
Agago,Agago,Patongo Town Council,Oporot,2038,2031,100.3,4069
Agago,Agago,Patongo Town Council,Pece,2003,2230,89.8,4233
Agago,Agago,Patongo,Kal,1155,1203,96,2358
Agago,Agago,Patongo,Lakwa,1059,1084,97.7,2143
Agago,Agago,Patongo,Lukwangole,1680,1807,93,3487
Agago,Agago,Patongo,Odong-Kiwinyo,1458,1546,94.3,3004
Agago,Agago,Wol,Atut,1608,1688,95.3,3296
Agago,Agago,Wol,Guda,1380,1568,88,2948
Agago,Agago,Wol,Kalagum,1483,1574,94.2,3057
Agago,Agago,Wol,Lamit,989,979,101,1968
Agago,Agago,Wol,Mura,1437,1420,101.2,2857
Agago,Agago,Wol,Ogole,1714,1841,93.1,3555
Agago,Agago,Wol,Paluti,1217,1249,97.4,2466
Agago,Agago,Wol,Rogo,1513,1628,92.9,3141
Alebtong,Moroto,Abako,Alanyi,2484,2591,95.9,5075
Alebtong,Moroto,Abako,Amononeno,2913,3119,93.4,6032
Alebtong,Moroto,Abako,Angoltok,1897,1986,95.5,3883
Alebtong,Moroto,Abako,Anyit,2441,2642,92.4,5083
Alebtong,Moroto,Abako,Awaoping,2099,2157,97.3,4256
Alebtong,Moroto,Abia,Abangaimany,2071,2237,92.6,4308
Alebtong,Moroto,Abia,Aberidwogo,1809,1951,92.7,3760
Alebtong,Moroto,Abia,Abia,1947,2050,95,3997
Alebtong,Moroto,Abia,Atinkok,1732,1914,90.5,3646
Alebtong,Moroto,Abia,Oteno,2026,2108,96.1,4134
Alebtong,Moroto,Abia,Tekulu,1753,1838,95.4,3591
Alebtong,Moroto,Akura,Akura,2312,2489,92.9,4801
Alebtong,Moroto,Akura,Anyanga,1984,2122,93.5,4106
Alebtong,Moroto,Akura,Bardago,1966,2070,95,4036
Alebtong,Moroto,Akura,Kai,2516,2491,101,5007
Alebtong,Moroto,Akura,Otweotoke,2590,2678,96.7,5268
Alebtong,Moroto,Alebtong Town Council,Alyec,1056,1094,96.5,2150
Alebtong,Moroto,Alebtong Town Council,Apado,803,905,88.7,1708
Alebtong,Moroto,Alebtong Town Council,Nakabela,1424,1420,100.3,2844
Alebtong,Moroto,Aloi,Akwangkel,1984,2106,94.2,4090
Alebtong,Moroto,Aloi,Alal,4407,4553,96.8,8960
Alebtong,Moroto,Aloi,Alebtong,1820,1930,94.3,3750
Alebtong,Moroto,Aloi,Amuria,2159,2266,95.3,4425
Alebtong,Moroto,Aloi,Anara,2382,2532,94.1,4914
Alebtong,Moroto,Aloi,Awiepek,2247,2323,96.7,4570
Alebtong,Moroto,Amugu,Abongatin,3081,3228,95.4,6309
Alebtong,Moroto,Amugu,Abunga,3777,3956,95.5,7733
Alebtong,Moroto,Amugu,Ajonyi,2826,2942,96.1,5768
Alebtong,Moroto,Amugu,Omee,3794,4104,92.4,7898
Alebtong,Moroto,Apala,Abiting,1555,1683,92.4,3238
Alebtong,Moroto,Apala,Amonomito,1559,1647,94.7,3206
Alebtong,Moroto,Apala,Obim,2564,2711,94.6,5275
Alebtong,Moroto,Apala,Okwangole,2139,2273,94.1,4412
Alebtong,Moroto,Apala,Olailongo,1696,1794,94.5,3490
Alebtong,Moroto,Awei,Acede,3535,3706,95.4,7241
Alebtong,Moroto,Awei,Awori,2081,2222,93.7,4303
Alebtong,Moroto,Awei,Ojul,2744,2865,95.8,5609
Alebtong,Moroto,Awei,Olyet,2289,2496,91.7,4785
Alebtong,Moroto,Awei,Owalo,3262,3389,96.3,6651
Alebtong,Moroto,Omoro,Abukamola,4295,4539,94.6,8834
Alebtong,Moroto,Omoro,Alolololo,3105,3034,102.3,6139
Alebtong,Moroto,Omoro,Angetta,5595,5887,95,11482
Alebtong,Moroto,Omoro,Ocokober,2807,2806,100,5613
Alebtong,Moroto,Omoro,Oculukori,1993,2108,94.5,4101
Alebtong,Moroto,Omoro,Omarari,3470,3590,96.7,7060
Amolatar,Kioga,Agikdak,Abarikori,1044,1107,94.3,2151
Amolatar,Kioga,Agikdak,Agikdak,1591,1551,102.6,3142
Amolatar,Kioga,Agikdak,Alobokwe,1648,1811,91,3459
Amolatar,Kioga,Agikdak,Awonangiro,1017,1099,92.5,2116
Amolatar,Kioga,Agwingiri,Agwenonywal,1133,1244,91.1,2377
Amolatar,Kioga,Agwingiri,Agwingiri,1111,1155,96.2,2266
Amolatar,Kioga,Agwingiri,Alemere,1419,1704,83.3,3123
Amolatar,Kioga,Agwingiri,Alyecmeda,1449,1331,108.9,2780
Amolatar,Kioga,Agwingiri,Amolatar,692,726,95.3,1418
Amolatar,Kioga,Agwingiri,Nalubwoyo,1946,1949,99.8,3895
Amolatar,Kioga,Akwon,Abalodyang,1267,1293,98,2560
Amolatar,Kioga,Akwon,Akwon,742,802,92.5,1544
Amolatar,Kioga,Akwon,Aromi,1159,1228,94.4,2387
Amolatar,Kioga,Akwon,Okiji,604,643,93.9,1247
Amolatar,Kioga,Amolatar Town Council,Aburkot Ward,1304,1332,97.9,2636
Amolatar,Kioga,Amolatar Town Council,Amirimiri Ward,1263,1312,96.3,2575
Amolatar,Kioga,Amolatar Town Council,Apalepe Ward,1014,1047,96.8,2061
Amolatar,Kioga,Amolatar Town Council,Epyel Ward,827,803,103,1630
Amolatar,Kioga,Amolatar Town Council,Inomo Ward,1192,1108,107.6,2300
Amolatar,Kioga,Aputi,Adonyoimo,826,914,90.4,1740
Amolatar,Kioga,Aputi,Akuriluba,1074,1137,94.5,2211
Amolatar,Kioga,Aputi,Amai,1371,1504,91.2,2875
Amolatar,Kioga,Aputi,Anywali,1574,1557,101.1,3131
Amolatar,Kioga,Aputi,Opali,1148,1185,96.9,2333
Amolatar,Kioga,Aputi,Otira,1352,1382,97.8,2734
Amolatar,Kioga,Arwotcek,Abeja,1689,1814,93.1,3503
Amolatar,Kioga,Arwotcek,Aburkidi,1278,1351,94.6,2629
Amolatar,Kioga,Arwotcek,Abwong,1136,1155,98.4,2291
Amolatar,Kioga,Arwotcek,Akol,1331,1337,99.6,2668
Amolatar,Kioga,Arwotcek,Arwotcek,1437,1477,97.3,2914
Amolatar,Kioga,Arwotcek,Otangocinge,1358,1306,104,2664
Amolatar,Kioga,Awelo,Akongomit,1325,1362,97.3,2687
Amolatar,Kioga,Awelo,Anamwany,986,1070,92.1,2056
Amolatar,Kioga,Awelo,Atero,1482,1508,98.3,2990
Amolatar,Kioga,Awelo,Atomoro,743,768,96.7,1511
Amolatar,Kioga,Awelo,Odyedo,1138,1172,97.1,2310
Amolatar,Kioga,Etam,Abwockwar,1285,1277,100.6,2562
Amolatar,Kioga,Etam,Anamido,1099,1126,97.6,2225
Amolatar,Kioga,Etam,Arwot,933,953,97.9,1886
Amolatar,Kioga,Etam,Awiodyek,1219,1340,91,2559
Amolatar,Kioga,Etam,Chakwara,1105,1077,102.6,2182
Amolatar,Kioga,Etam,Etam,1646,1630,101,3276
Amolatar,Kioga,Muntu,Abaler,1506,1575,95.6,3081
Amolatar,Kioga,Muntu,Kabangala,1218,1303,93.5,2521
Amolatar,Kioga,Muntu,Muntu,1125,1109,101.4,2234
Amolatar,Kioga,Muntu,Nakatiti,1367,1374,99.5,2741
Amolatar,Kioga,Muntu,Odyak,1359,1328,102.3,2687
Amolatar,Kioga,Namasale Town Council,Aweipeko Ward,1124,1038,108.3,2162
Amolatar,Kioga,Namasale Town Council,Central Ward,1513,1414,107,2927
Amolatar,Kioga,Namasale Town Council,Kayago Ward,1636,1458,112.2,3094
Amolatar,Kioga,Namasale Town Council,Wabinua Ward,1063,1031,103.1,2094
Amolatar,Kioga,Namasale,Acii,2004,1923,104.2,3927
Amolatar,Kioga,Namasale,Awikori,1190,1147,103.7,2337
Amolatar,Kioga,Namasale,Bangaladesh,2610,2558,102,5168
Amolatar,Kioga,Namasale,Izingwe,814,792,102.8,1606
Amolatar,Kioga,Namasale,Kikondo,1142,1057,108,2199
Amolatar,Kioga,Namasale,Nabweyo,1243,1245,99.8,2488
Amolatar,Kioga,Namasale,Olyaka,1143,1153,99.1,2296
Amudat,Pokot,Amudat Town Council,Jumbe,1429,1512,94.5,2941
Amudat,Pokot,Amudat Town Council,Kalas,1164,1082,107.6,2246
Amudat,Pokot,Amudat Town Council,Lochengenge,2365,2474,95.6,4839
Amudat,Pokot,Amudat Town Council,Tingas,873,887,98.4,1760
Amudat,Pokot,Amudat,Amudat,5747,5159,111.4,10906
Amudat,Pokot,Amudat,Katabok,6087,5483,111,11570
Amudat,Pokot,Amudat,Loburin,3089,2639,117.1,5728
Amudat,Pokot,Karita,Karita,6723,5453,123.3,12176
Amudat,Pokot,Karita,Lokales,6111,5249,116.4,11360
Amudat,Pokot,Karita,Losidok,4912,4516,108.8,9428
Amudat,Pokot,Loroo,Abiliep,3803,4114,92.4,7917
Amudat,Pokot,Loroo,Achorichor,3534,3135,112.7,6669
Amudat,Pokot,Loroo,Loroo,8409,9820,85.6,18229
Amuria,Amuria,Abarilela,Arute,1740,1925,90.4,3665
Amuria,Amuria,Abarilela,Asilang,1693,1736,97.5,3429
Amuria,Amuria,Abarilela,Dodos,1485,1646,90.2,3131
Amuria,Amuria,Abarilela,Katine,2960,3185,92.9,6145
Amuria,Amuria,Abarilela,Ocal,2206,2362,93.4,4568
Amuria,Amuria,Abarilela,Olelai,1588,1764,90,3352
Amuria,Amuria,Akeriau,Aita,1248,1271,98.2,2519
Amuria,Amuria,Akeriau,Akeriau,1271,1350,94.1,2621
Amuria,Amuria,Akeriau,Okude,1752,1841,95.2,3593
Amuria,Amuria,Akeriau,Otubet,1611,1750,92.1,3361
Amuria,Amuria,Akeriau,Temele,1010,1123,89.9,2133
Amuria,Amuria,Amuria Town Council,Akisim,665,713,93.3,1378
Amuria,Amuria,Amuria Town Council,Alira,1094,1202,91,2296
Amuria,Amuria,Amuria Town Council,Eastern,1312,1351,97.1,2663
Amuria,Amuria,Amuria Town Council,Okutoi,529,396,133.6,925
Amuria,Amuria,Apeduru,Ajaki,1745,1879,92.9,3624
Amuria,Amuria,Apeduru,Amucu,1204,1059,113.7,2263
Amuria,Amuria,Apeduru,Apeduru,2044,2170,94.2,4214
Amuria,Amuria,Apeduru,Odoon,1048,1219,86,2267
Amuria,Amuria,Apeduru,Omariai,1147,1203,95.3,2350
Amuria,Amuria,Asamuk,Aparisa,1296,1432,90.5,2728
Amuria,Amuria,Asamuk,Asamuk Town Board,632,688,91.9,1320
Amuria,Amuria,Asamuk,Asamuk,1161,1159,100.2,2320
Amuria,Amuria,Asamuk,Atirir,1327,1425,93.1,2752
Amuria,Amuria,Asamuk,Dokolo,1891,1859,101.7,3750
Amuria,Amuria,Asamuk,Jobur,1477,1525,96.9,3002
Amuria,Amuria,Asamuk,Ojanai,1468,1586,92.6,3054
Amuria,Amuria,Asamuk,Olekai,1260,1199,105.1,2459
Amuria,Amuria,Kuju,Abia,1594,1627,98,3221
Amuria,Amuria,Kuju,Agwara,2082,2086,99.8,4168
Amuria,Amuria,Kuju,Amilimili,1306,1379,94.7,2685
Amuria,Amuria,Kuju,Amusus,1816,1823,99.6,3639
Amuria,Amuria,Kuju,Aojakitoi,981,1049,93.5,2030
Amuria,Amuria,Kuju,Kuju,1130,1193,94.7,2323
Amuria,Amuria,Morungatuny,Awelu,1654,1818,91,3472
Amuria,Amuria,Morungatuny,Ayola,1530,1493,102.5,3023
Amuria,Amuria,Morungatuny,Morungatuny,1270,1275,99.6,2545
Amuria,Amuria,Morungatuny,Ogangai,1217,1328,91.6,2545
Amuria,Amuria,Morungatuny,Ojukot,1197,1258,95.2,2455
Amuria,Amuria,Morungatuny,Olwa,1545,1595,96.9,3140
Amuria,Amuria,Ogolai,Abeko,1636,1631,100.3,3267
Amuria,Amuria,Ogolai,Akore,1279,1309,97.7,2588
Amuria,Amuria,Ogolai,Ococia,1657,1881,88.1,3538
Amuria,Amuria,Ogolai,Odepe,1218,1263,96.4,2481
Amuria,Amuria,Ogolai,Ogolai,1029,988,104.1,2017
Amuria,Amuria,Orungo,Adakun,1056,1145,92.2,2201
Amuria,Amuria,Orungo,Moruinera,1387,1414,98.1,2801
Amuria,Amuria,Orungo,Ogongora,2196,2304,95.3,4500
Amuria,Amuria,Orungo,Omoratok,695,758,91.7,1453
Amuria,Amuria,Orungo,Orungo Town Board,828,844,98.1,1672
Amuria,Amuria,Orungo,Orungo,1073,1058,101.4,2131
Amuria,Amuria,Wera,Amolo,1018,1129,90.2,2147
Amuria,Amuria,Wera,Angole,2070,2228,92.9,4298
Amuria,Amuria,Wera,Aten,1606,1645,97.6,3251
Amuria,Amuria,Wera,Golokware,1060,1085,97.7,2145
Amuria,Amuria,Wera,Jopam,779,881,88.4,1660
Amuria,Amuria,Wera,Sugur,1744,1799,96.9,3543
Amuria,Amuria,Wera,Wera Town Board,558,651,85.7,1209
Amuria,Amuria,Wera,Wera,2843,3028,93.9,5871
Amuria,Amuria,Willa,Abwanget,1140,1189,95.9,2329
Amuria,Amuria,Willa,Akisim,939,1005,93.4,1944
Amuria,Amuria,Willa,Akum,1405,1477,95.1,2882
Amuria,Amuria,Willa,Alere,1245,1293,96.3,2538
Amuria,Amuria,Willa,Willa,1787,1967,90.8,3754
Amuria,Kapelebyong,Acowa,Acinga,355,352,100.9,707
Amuria,Kapelebyong,Acowa,Acowa,2556,2609,98,5165
Amuria,Kapelebyong,Acowa,Akum,2722,2798,97.3,5520
Amuria,Kapelebyong,Acowa,Amero,2357,2208,106.7,4565
Amuria,Kapelebyong,Acowa,Angolebwal,1271,1311,96.9,2582
Amuria,Kapelebyong,Akoromit,Akore Town Board,335,341,98.2,676
Amuria,Kapelebyong,Akoromit,Akore,1726,1863,92.6,3589
Amuria,Kapelebyong,Akoromit,Akoromit,907,960,94.5,1867
Amuria,Kapelebyong,Akoromit,Aminito,1547,1447,106.9,2994
Amuria,Kapelebyong,Akoromit,Angerepo,1331,1469,90.6,2800
Amuria,Kapelebyong,Akoromit,Kobuin,1464,1606,91.2,3070
Amuria,Kapelebyong,Akoromit,Olekat,1522,1541,98.8,3063
Amuria,Kapelebyong,Kapelebyong,Amaseniko,1206,1154,104.5,2360
Amuria,Kapelebyong,Kapelebyong,Amemia,1473,1547,95.2,3020
Amuria,Kapelebyong,Kapelebyong,Atiira,1215,1203,101,2418
Amuria,Kapelebyong,Kapelebyong,Kapelebyong Town Board,1270,1342,94.6,2612
Amuria,Kapelebyong,Kapelebyong,Kapelebyong,1373,1412,97.2,2785
Amuria,Kapelebyong,Kapelebyong,Nyada,1668,1757,94.9,3425
Amuria,Kapelebyong,Kapelebyong,Okoboi,1291,1300,99.3,2591
Amuria,Kapelebyong,Obalanga,Akileng,1553,1669,93,3222
Amuria,Kapelebyong,Obalanga,Alito,1625,1741,93.3,3366
Amuria,Kapelebyong,Obalanga,Alupe,1157,1244,93,2401
Amuria,Kapelebyong,Obalanga,Labira,1244,1301,95.6,2545
Amuria,Kapelebyong,Obalanga,Obalanga Town Board,1253,1381,90.7,2634
Amuria,Kapelebyong,Obalanga,Obalanga,766,827,92.6,1593
Amuria,Kapelebyong,Obalanga,Opot,1102,1103,99.9,2205
Amuria,Kapelebyong,Okungur,Agonga,1177,1187,99.2,2364
Amuria,Kapelebyong,Okungur,Airabet,1408,1534,91.8,2942
Amuria,Kapelebyong,Okungur,Akodokodoi,1019,980,104,1999
Amuria,Kapelebyong,Okungur,Amootom,1090,1136,96,2226
Amuria,Kapelebyong,Okungur,Aridai,1153,1169,98.6,2322
Amuria,Kapelebyong,Okungur,Odiding,951,1001,95,1952
Amuru,Kilak,Amuru Town Council,Amoyokoma,847,906,93.5,1753
Amuru,Kilak,Amuru Town Council,Lujoro,847,864,98,1711
Amuru,Kilak,Amuru Town Council,Otwee,1604,1552,103.4,3156
Amuru,Kilak,Amuru Town Council,Pogi,1309,1373,95.3,2682
Amuru,Kilak,Amuru,Acwera,2832,2709,104.5,5541
Amuru,Kilak,Amuru,Okunggedi,2437,2585,94.3,5022
Amuru,Kilak,Amuru,Pagak,2734,2915,93.8,5649
Amuru,Kilak,Amuru,Pailyec,7527,7515,100.2,15042
Amuru,Kilak,Amuru,Pamuca,2642,2741,96.4,5383
Amuru,Kilak,Amuru,Toro,2809,2855,98.4,5664
Amuru,Kilak,Attiak,Bibia,4130,3804,108.6,7934
Amuru,Kilak,Attiak,Kal,2357,2623,89.9,4980
Amuru,Kilak,Attiak,Okidi,1786,1729,103.3,3515
Amuru,Kilak,Attiak,Pacilo,2077,2066,100.5,4143
Amuru,Kilak,Attiak,Palukere,1371,1262,108.6,2633
Amuru,Kilak,Attiak,Parwaca,1677,1700,98.6,3377
Amuru,Kilak,Attiak,Pawel,1921,2147,89.5,4068
Amuru,Kilak,Attiak,Pupwonya,1759,1936,90.9,3695
Amuru,Kilak,Lamogi,Agwayugi,3448,3802,90.7,7250
Amuru,Kilak,Lamogi,Coke,1973,2178,90.6,4151
Amuru,Kilak,Lamogi,Giragira,3161,3441,91.9,6602
Amuru,Kilak,Lamogi,Guruguru,2280,2472,92.2,4752
Amuru,Kilak,Lamogi,Lacor,2937,3094,94.9,6031
Amuru,Kilak,Lamogi,Obbo,2207,2407,91.7,4614
Amuru,Kilak,Lamogi,Pagoro,3256,3385,96.2,6641
Amuru,Kilak,Lamogi,Palema,3107,3185,97.6,6292
Amuru,Kilak,Pabo,Gaya,3083,3412,90.4,6495
Amuru,Kilak,Pabo,Kal,4365,4809,90.8,9174
Amuru,Kilak,Pabo,Labala,9032,9673,93.4,18705
Amuru,Kilak,Pabo,Palwong,3613,3764,96,7377
Amuru,Kilak,Pabo,Parubanga,3212,3484,92.2,6696
Amuru,Kilak,Pabo,Pogo,2944,3024,97.4,5968
